GooglePublicDNS,8.8.8.8
GooglePublicDNS,8.8.4.4
GooglePublicDNS,2001:4860:4860::8888
GooglePublicDNS,2001:4860:4860::8844
Cloudflare,1.1.1.1
Cloudflare,1.0.0.1
Cloudflare,2606:4700:4700::1111
Cloudflare,2606:4700:4700::1001
OpenDNS,208.67.222.222
OpenDNS,208.67.220.220
OpenDNS,2620:0:ccc::2
OpenDNS,2620:0:ccd::2
Level3,209.244.0.3
Level3,209.244.0.4
Verisign,64.6.64.6
Verisign,64.6.65.6
Verisign,2620:74:1b::1:1
Verisign,2620:74:1c::2:2
Quad9,9.9.9.9
Quad9,149.112.112.112
Quad9,2620:fe::fe
Quad9,2620:fe::9
ComodoSecureDNS,8.26.56.26
ComodoSecureDNS,8.20.247.20
DNS.WATCH,84.200.69.80
DNS.WATCH,84.200.70.40
DNS.WATCH,2001:1608:10:25::1c04:b12f
DNS.WATCH,2001:1608:10:25::9249:d69b
NortonConnectSafe,199.85.126.10
NortonConnectSafe,199.85.127.10
GreenTeamDNS,81.218.119.11
GreenTeamDNS,209.88.198.133
SafeDNS,195.46.39.39
SafeDNS,195.46.39.40
OpenNIC,185.121.177.177
OpenNIC,169.239.202.202
OpenNIC,2a05:dfc7:5::53
OpenNIC,2a05:dfc7:5353::53
SmartViper,208.76.50.50
SmartViper,208.76.51.51
FreenomWorld,80.80.80.80
FreenomWorld,80.80.81.81
Dyn,216.146.35.35
Dyn,216.146.36.36
FreeDNS,37.235.1.174
FreeDNS,37.235.1.177
AlternateDNS,198.101.242.72
AlternateDNS,23.253.163.53
Yandex.DNS,77.88.8.8
Yandex.DNS,77.88.8.1
Yandex.DNS,2a02:6b8::feed:0ff
Yandex.DNS,2a02:6b8:0:1::feed:0ff
UncensoredDNS,91.239.100.100
UncensoredDNS,89.233.43.71
UncensoredDNS,2001:67c:28a4::
UncensoredDNS,2a01:3a0:53:53::
HurricaneElectric,74.82.42.42
HurricaneElectric,2001:470:20::2
puntCAT,109.69.8.51
puntCAT,2a00:1508:0:4::9
Neustar,156.154.70.1
Neustar,156.154.71.1
Neustar,2610:a1:1018::1
Neustar,2610:a1:1019::1
CNNIC-SDNS,1.2.4.8
CNNIC-SDNS,210.2.4.8
CFIEC-IPv6-PublicDNS,240c::6666
CFIEC-IPv6-PublicDNS,240c::6644
AliDNS,223.5.5.5
AliDNS,223.6.6.6
AliDNS,2400:3200::1
AliDNS,2400:3200:baba::1
BaiduPublicDNS,180.76.76.76
BaiduPublicDNS,2400:da00::6666
DNSPodPublicDNS+,119.29.29.29
DNSPodPublicDNS+,119.28.28.28
114DNS,114.114.114.114
114DNS,114.114.115.115
OneDNS,117.50.11.11
OneDNS,117.50.22.22
DNSpai,101.226.4.6
DNSpai,218.30.118.6
